"","Name","First_Election","Second_Election","First_Primary","Second_Primary","First_General","Second_General","First_Special","Second_Special","First_Year","Second_Year","Ward","Incumbency","Second_Win"
"125","Sydney A. Washington",20.0674536256324,17.4136321195145,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","18",0,0
"126","Sylvia Y. Welch",25.9866735007688,6.62295081967213,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","27",0,0
"127","Thomas E. Coleman",35.8102766798419,18.4847282824276,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","21",0,0
"128","Thomas W. Murphy",101.583993330554,640.303541315346,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","18",1,1
"129","Tommie Grayer, Sr.",5.99208592425099,47.0891672807664,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1999","15",0,0
"130","Toni Preckwinkle",100,102.026775753068,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","4",0,1
"131","Tyrone T. Kenner",111.840261560019,100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1991","3",1,0
"132","Ulmer D. Lynch, Jr.",61.506646971935,5.04995949230354,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1982","17",0,0
"133","Vilma Colom",144.548474781033,157.292327203551,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","35",1,1
"134","Virgil E. Jones",92.2555115884681,109.666899604007,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","15",0,1
"135","Virginia Martinez",55.9405940594059,44.1645053723601,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","25",0,0
"136","Wallace Bradley",20.4582651391162,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1995","3",0,0
"137","Wallace Davis, Iii",54.6229508196721,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1995","27",0,0
"138","Wallace Davis, Jr.",136.31073610707,232.291132752435,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1983","1987","27",1,1
"139","Walter Burnett, Jr.",148.967043777668,333.196384552178,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","27",1,1
"140","William C. Henry",494.275433431469,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","24",1,0
"141","William Carothers",477.434456928839,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1980","1983","28",1,0
"142","William M. Beavers",305.449420607579,374.900398406375,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","7",1,1
"143","Wynell Parker",100,75.1376146788991,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","28",0,0
